item_num,inventory_type,COST,sell_price,SBU TYPE,ROYALTY FEE,prod_line code,LICENSOR,product line,qty_in_transit units,qty_due_maker units,qty_on_hand units,ATS units,description_long,LAST REC DATE,AGE OF INVENTORY DAYS,AGE OF INVENTORY YEAR,commodity code,class,Sub-Class,gender_id,GENDER GROUP
12092555,Stock,$88.32 ,$165.00 ,HOUSE,,LU  ,,LULU,0,"3,600",0,"3,600",SWIRLY GIRL TOTE,February-09,"2,860","7 years, 10 months",TT,BAGS,BAGS,Ladies,LADIES
114567893,Damage,$60.14 ,$90.12 ,LICENSE,2.0%,N7  ,LATQ,LATIQUE,0,0,159,159,CELIA CLUTCH,March-11,"2,102","5 years, 9 months",CT,BAGS,BAGS,Ladies,LADIES
114567893,Stock,$266.64 ,$491.52 ,LICENSE,2.0%,PM  ,LATQ,PLUM,0,0,291,291,NAPPA DBL ZIP,May-11,"2,041","5 years, 7 months",FW,BAGS,SMALL LEATHER,Ladies,LADIES
12067111,Damage,$112.63 ,$217.20 ,HOUSE,,LU  ,,LULU,0,0,2,2,QUILTED TWIN PRINT LG DOME DUFFLE ,January-13,"1,430","3 years, 11 months",DF,BAGS,LUGGAGE,Ladies,LADIES
12036303,Damage,$19.61 ,$36.96 ,HOUSE,,LN  ,,LULU,0,0,446,9,PVC CLAMP CLUTCH,January-13,"1,430","3 years, 11 months",CT,BAGS,BAGS,Ladies,LADIES
12085128,Damage,$51.93 ,$88.32 ,PRIVATE LABEL,,JB  ,,JOE BOXER,0,0,147,147,ASST QUILTED PRINTED BAGS ,May-13,"1,310","3 years, 7 months",BG,BAGS,BAGS,Ladies,LADIES
12041980,Damage,$170.86 ,$316.08 ,HOUSE,,LU  ,,LULU,0,0,2,2,QUILTED TWIN PRINT WEEKENDER DUFFLE,September-13,"1,187","3 years, 3 months",DF,BAGS,LUGGAGE,Ladies,LADIES
12041980,Damage,$170.86 ,$331.44 ,HOUSE,,LU  ,,LULU,0,0,2,2,QUILTED TWIN PRINT WEEKENDER DUFFLE,December-13,"1,096","3 years, 0 months",DF,BAGS,LUGGAGE,Ladies,LADIES
28715996,Stock,$142.87 ,$224.64 ,LICENSE,2.0%,LT  ,LATQ,LATIQUE,0,0,2,2,CASA BLANCA TOTE,January-14,"1,065","2 years, 11 months",TT,BAGS,BAGS,Ladies,LADIES
114567893,Stock,$144.36 ,$227.52 ,LICENSE,2.0%,LT  ,LATQ,LATIQUE,0,0,91,91,MARCITA SATCHEL,January-14,"1,065","2 years, 11 months",SA,BAGS,BAGS,Ladies,LADIES
