Available Data, Affordable Housing Units, Educational Quality Score, Trust in Police, Road Quality, Community Events Attendance, Mental Health Status
True, 1000, 80, 70, 90, 500, Good
False, 500, 70, 60, 80, 200, Fair
True, 1500, 90, 80, 100, 600, Excellent
False, 2000, 60, 50, 70, 300, Poor
True, 1000, 70, 60, 80, 400, Good
False, 500, 80, 70, 90, 100, Fair
True, 1500, 90, 80, 100, 600, Excellent
False, 2000,60, 50, 70, 300, Poor
True, 1000, 70, 60, 80, 400, Good
False, 500, 80, 70, 90, 100, Fair
True, 1500, 90, 80, 100, 600, Excellent
