Puesto de trabajo,Orden de p,      Cant. Producida,       Valor Est.,     Cant. Producida,    Valor Est. Producida,     Cant. Constrastada,       Valor Est. Contrastada,merma rec.,    Valor Est. Merma,c.costo,total producido,merma no recuperada
PA-613,13340835,2964348.0,14977131.11,0,0.0,3047239.806,14698848.76,62678.174,130315.34,ASVC-PA613,2964348.0,20213.63199999975
PA-613,13341919,10102372.0,51515934.77,153755,784056.71,10654945.42,51881166.81,228232.796,492826.82,ASVC-PA613,10256127.0,170585.62399999984
PA-613,13346567,3418590.0,17178995.91,0,0.0,3530425.87,16936300.18,73653.832,155341.01,ASVC-PA613,3418590.0,38182.038000000175
PA-613,13348650,19929.0,101705.86,0,0.0,20441.569,99564.75,421.379,876.1,ASVC-PA613,19929.0,91.18999999999869
PA-613,13348663,4477893.0,23030968.0,0,0.0,4627941.235,22731197.84,95004.711,197526.07,ASVC-PA613,4477893.0,55043.52400000021
PA-613,13348730,1796798.0,9020321.24,44244,222114.62,1966297.688,9411113.64,64026.713,173499.9,ASVC-PA613,1841042.0,61228.97500000009
PA-613,13348737,2456307.0,12454213.39,0,0.0,2565569.078,12413762.54,60517.177,138966.62,ASVC-PA613,2456307.0,48744.90100000007
PA-613,13348738,152396.0,765459.2,54076,274567.65,222364.961,1066235.54,4365.643,9076.69,ASVC-PA613,206472.0,11527.318
PA-613,13348740,3514940.0,17649040.91,0,0.0,3698911.808,17730178.93,91838.029,218456.69,ASVC-PA613,3514940.0,92133.7790000001
PA-613,13348741,6668550.0,33500327.78,55188,281528.89,6812955.15,32656878.49,146398.432,316089.65,ASVC-PA613,6723738.0,-57181.28199999966
PA-613,13348742,1838781.0,9304912.26,0,0.0,1904189.494,9195273.91,52648.941,131616.35,ASVC-PA613,1838781.0,12759.55299999984
PA-613,13348744,1484632.0,7538129.94,0,0.0,1593641.63,7725863.09,31598.948,65697.93,ASVC-PA613,1484632.0,77410.6819999998
PA-613,13348745,689850.0,3504382.82,41391,207933.07,752028.306,3645780.57,15461.359,32146.02,ASVC-PA613,731241.0,5325.946999999927
PA-613,13348749,3282552.0,16592972.14,0,0.0,3423443.428,16513527.18,69406.275,144303.85,ASVC-PA613,3282552.0,71485.15299999993
PA-613,13348752,4557833.0,23112087.48,65513,332206.6,4816566.706,23127323.02,137689.362,316675.73,ASVC-PA613,4623346.0,55531.34400000051
